Code,Description
AGRDSL001,Agriculture machinery - Diesel - Base efficiency
AGRDSL005,Agriculture machinery - Diesel - Improved efficiency
AGRGSL001,Agriculture machinery - Gasoline - Base efficiency
AGRGSL005,Agriculture machinery - Gasoline - Improved efficiency
AGRHFO001,Agriculture machinery - Heavy fuel oil- Base efficiency
BACKSTOP,Backstop technology - Power sector
CCOELC001,Commercial - Other electricity demand - Electricity - Base efficiency
EXPELC,Electricity - Exports
FTEAGRDSL,Fuel tech mix - Agriculture - Diesel
FTEAGRGSL,Fuel tech mix - Agriculture - Gasoline
FTEAGRHFO,Fuel tech mix - Agriculture - HFO
FTECOMELC,Fuel tech mix - Commercial - Electricity
FTEINDCOA,Fuel tech mix - Industry - Coal
FTEINDDSL,Fuel tech mix - Industry - Diesel
FTEINDELC,Fuel tech mix - Industry - Electricity
FTEINDHFO,Fuel tech mix - Industry - Heavy fuel oil
FTEINDKER,Fuel tech mix - Industry - Kerosene
FTEINDLPG,Fuel tech mix - Industry - LPG
FTERESBGS,Fuel tech mix - Residential - Biogas
FTERESBIO,Fuel tech mix - Residential - Solid biomass
FTERESCHC,Fuel tech mix - Residential - Charcoal
FTERESELC,Fuel tech mix - Residential - Electricity
FTERESETH,Fuel tech mix - Residential - Ethanol
FTERESKER,Fuel tech mix - Residential - Kerosene
FTERESLPG,Fuel tech mix - Residential - LPG
FTETRADSL,Fuel tech mix - Transport - Diesel
FTETRAELC,Fuel tech mix - Transport - Electricity
FTETRAGSL,Fuel tech mix - Transport - Gasoline
FTETRAHFO,Fuel tech mix - Transport - Heavy shipping oil
FTETRAJFL,Fuel tech mix - Transport - Jet fuel
ICMCOA001,Industry non-metallic minerals and cement - Coal - Base efficiency
ICMCOA005,Industry non-metallic minerals and cement - Coal - Improved efficiency
IFPELC001,Industry food and food processing - Electricity - Base efficiency
IMPBIO,Biomass - Imports
IMPCOA,Coal - Imports
IMPDSL,Diesel for transportation sector - Imports
IMPELC001,Electricity - Imports from Ethiopia
IMPELC002,Electricity - Imports from Uganda
IMPGSL,Gasoline for transportation sector - Imports
IMPHFOMOM,HFO - Import to Mombasa
IMPHFONAI,HFO - Import to Nairobi
IMPJFL,Jet fuel for transportation sector - Imports
IMPKER,Kerosene - Imports
IMPLFOELD,LFO - Import to Eldoret
IMPLPG,LPG - Imports
IMPNGS,Natural gas - Imports
IMPOIL,Oil - Imports
IMPURN,Uranium - Imports
IOIDSL001,Industry other industry - Diesel - Base efficiency
IOIELC001,Industry other industry - Electricity - Base efficiency
IOIHFO001,Industry other industry - Heavy fuel oil - Base efficiency
IOIKER001,Industry other industry - Kerosene - Base efficiency
IOILPG001,Industry other industry - LPG - Base efficiency
MINBGS,Biogas - Domestic
MINBIO,Biomass - Domestic
MINGEO,Goethermal resource
